"fisherman_id","fish","age"
1,3,43.5942183779553
1,5,43.5942183779553
1,4,43.5942183779553
2,0,62.6015238808468
2,3,62.6015238808468
3,4,41.0365070644766
3,1,41.0365070644766
3,5,41.0365070644766
3,8,41.0365070644766
4,4,45.7912695277482
4,2,45.7912695277482
4,3,45.7912695277482
4,2,45.7912695277482
4,2,45.7912695277482
5,0,35.8324112538248
5,2,35.8324112538248
6,5,63.999431735836
6,1,63.999431735836
6,3,63.999431735836
7,4,57.0541056469083
7,5,57.0541056469083
8,3,21.5939190937206
8,4,21.5939190937206
8,5,21.5939190937206
9,3,41.1206128085032
9,6,41.1206128085032
9,7,41.1206128085032
10,1,25.4146992405877
10,2,25.4146992405877
10,2,25.4146992405877
10,3,25.4146992405877
10,1,25.4146992405877
11,3,56.596721672453
11,4,56.596721672453
11,5,56.596721672453
12,6,64.6113900449127
12,2,64.6113900449127
12,5,64.6113900449127
12,3,64.6113900449127
12,6,64.6113900449127
13,3,37.8151625571772
13,6,37.8151625571772
14,3,21.0757672758773
14,6,21.0757672758773
14,2,21.0757672758773
14,3,21.0757672758773
14,2,21.0757672758773
15,5,47.9450107328594
15,6,47.9450107328594
15,6,47.9450107328594
16,4,63.9880064520985
16,1,63.9880064520985
16,3,63.9880064520985
17,5,59.8720448995009
17,3,59.8720448995009
17,5,59.8720448995009
18,2,31.3483997965232
18,7,31.3483997965232
18,5,31.3483997965232
18,5,31.3483997965232
19,5,23.457154863514
19,1,23.457154863514
20,3,50.8640366829932
20,3,50.8640366829932
20,5,50.8640366829932
20,5,50.8640366829932
20,4,50.8640366829932
21,4,36.8859088374302
21,3,36.8859088374302
21,0,36.8859088374302
22,2,31.3527171975002
22,5,31.3527171975002
22,7,31.3527171975002
22,4,31.3527171975002
23,4,42.3328736610711
23,1,42.3328736610711
23,3,42.3328736610711
23,4,42.3328736610711
